        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2019-08-24 22:00:51 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         37   ,                       18   ,                  11   ,                    3   ,                    42.7   ,                        14.2   ,              16   , 0.7060   ,               39.0   ,                  7192   ,
2019-08-24 22:00:52 ,         555.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            665   ,         38   ,                       19   ,                  12   ,                    3   ,                    43.6   ,                        14.5   ,              16   , 0.7060   ,               39.0   ,                  7180   ,
2019-08-24 22:00:53 ,         555.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            665   ,         38   ,                       18   ,                  11   ,                    3   ,                    43.0   ,                        14.3   ,              16   , 0.7060   ,               39.0   ,                  7178   ,
2019-08-24 22:00:54 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            665   ,         39   ,                       19   ,                  11   ,                    3   ,                    43.1   ,                        14.4   ,              16   , 0.7060   ,               39.0   ,                  7176   ,
2019-08-24 22:00:55 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            665   ,         38   ,                       18   ,                  11   ,                    3   ,                    42.9   ,                        14.3   ,              16   , 0.7060   ,               39.0   ,                  7172   ,
2019-08-24 22:00:56 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         39   ,                       19   ,                  12   ,                    3   ,                    42.9   ,                        14.3   ,              16   , 0.7060   ,               39.1   ,                  7172   ,
2019-08-24 22:00:57 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         39   ,                       19   ,                  11   ,                    3   ,                    43.1   ,                        14.4   ,              16   , 0.7060   ,               39.3   ,                  7166   ,
2019-08-24 22:00:58 ,         585.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            665   ,         39   ,                       19   ,                  12   ,                    3   ,                    43.6   ,                        14.5   ,              16   , 0.7060   ,               39.3   ,                  7164   ,
2019-08-24 22:00:59 ,         585.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            664   ,         38   ,                       19   ,                  12   ,                    3   ,                    43.2   ,                        14.4   ,              16   , 0.7060   ,               39.1   ,                  7163   ,
2019-08-24 22:01:00 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            664   ,         38   ,                       19   ,                  12   ,                    3   ,                    42.8   ,                        14.3   ,              16   , 0.7060   ,               39.0   ,                  7163   ,
2019-08-24 22:01:01 ,         570.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            664   ,         38   ,                       18   ,                  11   ,                    3   ,                    43.1   ,                        14.4   ,              16   , 0.7060   ,               39.0   ,                  7163   ,
2019-08-24 22:01:02 ,         555.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            664   ,         38   ,                       19   ,                  11   ,                    3   ,                    42.7   ,                        14.2   ,              16   , 0.7060   ,               38.9   ,                  7161   ,
2019-08-24 22:01:03 ,         555.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            664   ,         38   ,                       18   ,                  11   ,                    3   ,                    43.0   ,                        14.3   ,              16   , 0.7060   ,               38.9   ,                  7160   ,
2019-08-24 22:01:04 ,         600.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            675   ,         37   ,                       18   ,                  11   ,                    3   ,                    44.0   ,                        14.7   ,              16   , 0.7060   ,               38.9   ,                  7173   ,
2019-08-24 22:01:05 ,         600.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            670   ,         39   ,                       19   ,                  12   ,                    3   ,                    43.3   ,                        14.4   ,              16   , 0.7060   ,               38.9   ,                  7164   ,
2019-08-24 22:01:06 ,         615.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            670   ,         39   ,                       19   ,                  11   ,                    3   ,                    43.5   ,                        14.5   ,              16   , 0.7060   ,               38.9   ,                  7163   ,
2019-08-24 22:01:07 ,         615.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            670   ,         39   ,                       19   ,                  11   ,                    3   ,                    43.1   ,                        14.4   ,              16   , 0.7060   ,               38.6   ,                  7163   ,
2019-08-24 22:01:08 ,         630.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            670   ,         37   ,                       19   ,                  11   ,                    1   ,                    43.5   ,                        14.5   ,              16   , 0.7060   ,               38.8   ,                  7159   ,
